APP,commit url,types,cases,explanation,consequences,source-code locations,defect-triggering tests
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,exceeding  LLM content limit,case1,"AutoGPT incorrectly interprets the ""429 Too Many Requests"" error as rate limiting, when it is actually due to insufficient API quota from OpenAI's new prepay billing method.",ST,scripts/config.py,"1.Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.(cli mode)Use the command: ""./autogpt.sh --continuous"" to start AutoGPT in continuous mode.
3.Simulate API Quota Depletion:Ensure that your OpenAI API quota is depleted. This can be done by using up your available credits or not having sufficient pre-paid balance on your OpenAI account.
4.Allow AutoGPT to make several API requests to OpenAI, which will result in ""429 Too Many Requests"" errors due to the depleted API quota.
"
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,,case2,"AutoGPT encounters a ""Please reduce the length of the messages or completion"" error due to exceeding the token limit, even with small tasks","ST,IC",scripts/token_counter.py,"1.Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
(Open .env, set USE_AZURE to True and make an Azure configuration file.Rename azure.yaml.template to azure.yaml and provide the relevant azure_api_base, azure_api_version and deployment IDs for the models that you want to use. All these are also included in https://docs.agpt.co/autogpt/setup/)
2.(cli mode)Use the command: ""./autogpt.sh --continuous"" to start AutoGPT in continuous mode.
3.Set up a simple task as blow:
  Name: Phone finder
  Role: best phone 2
  Goals: ['list 2 best phone for high mega pixel camera', 'abort']
  API Budget: infinite
4.Allow AutoGPT to process the task and observe if the token length error occurs."
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,,case3,openai.error.InvalidRequestError: This model's maximum context length is 4097 tokens,ST,scripts/chat.py,"1.Configure and launch Auto-GPT according to the instructions on this website: https://docs.agpt.co/.(Use releases before v0.5.0)
2.Create an AI agent.
3.Set up a task(Building a business plan)
4. Return this error, and program exits: openai.error.InvalidRequestError: This model's maximum context length is 4097 tokens. However, your messages resulted in 10134 tokens. Please reduce the length of the messages."
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,,case4,COMMAND = list_files - openai.error.InvalidRequestError: This model's maximum context length is 4097 ,"ST,IC","scripts/agent_manager.py/create_chat_completion()
scripts/chat.py","1.Configure and launch Auto-GPT according to the instructions on this website: https://docs.agpt.co/.(Use releases before v0.4.0)
2.Create an AI agent.
3.Start AutoGPT. Authorize the forlowing command and observe its outputs: 
list_files ARGUMENTS = {'directory': '....\auto_gpt_workspace'} --> openai.error.InvalidRequestError: This model's maximum context length is 4097 tokens
"
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,,case5,Maximum context length exceeded after get_hyperlinks ,"ST,IC","scripts/config.py
scripts/llm_utils.py
","1.Install all the dependencies and run as ""python -m autogpt -c""
2.Give the prompt:
Goal 1: Please analyze the home page of http://mathrubhumi.com
Goal 2: Provide feedback on the website's design and functionality

Continuous Mode:  ENABLED

Name:  Entrepreneur-GPT
Role:  an AI designed to autonomously develop and run businesses with the
ge of the website http://mathrubhumi.com and provide feedback']
Continue (y/n): y
Using memory of type:  RedisMemory
Using Browser:  chrome

3. According to the user's logs, the next steps are as follows:
 THOUGHTS:  I will start by analyzing the home page of http://mathrubhumi.com to provide feedback.
REASONING:  Analyzing the home page will give me an idea of the website's design, layout, and content, which will help me determine if there are any areas that need improvement.
PLAN:
-  Analyze the home page of http://mathrubhumi.com
-  Provide feedback on the website's design, layout, and content
CRITICISM:  I need to ensure that my feedback is constructive and actionable.
NEXT ACTION:  COMMAND = browse_website ARGUMENTS = {'url': 'http://mathrubhumi.com', 'question': ""Provide feedback on the website's design, layout, and content.""}
Text length: 8180 characters
Adding chunk 1 / 3 to memory
Summarizing chunk 1 / 3 of length 3078 characters, or 2975 tokens
SYSTEM:  Command browse_website returned: (""Answer gathered from website: The text does not provide information about the design and user experience of the Mathrubhumi website. It contains news articles and features on various topics such as politics, environment, sports, and entertainment. Some articles are available for free, while others require a premium subscription. The website also includes special pages for events like Vishu, Ramzan, and IPL 2023. \n \n Links: ['\\n\\n (javascript:void(0))', '\\n\\n\\n (https://www.mathrubhumi.com/)', '\\nMALAYALAM (http://mathrubhumi.com/)', '\\nENGLISH (https://english.mathrubhumi.com/)', '\\nNewspaper (https://newspaper.mathrubhumi.com/)']"", <selenium.webdriver.chrome.webdriver.WebDriver (session=""f00359f317ac17df84fd2258bd7da2ef"")>)
- Thinking... an read more here: https://github.com/Significant-Gravitas/Auto-GPT#openai-api-keys-configuration
 THOUGHTS:  Based on the information gathered, I suggest we use the 'get_hyperlinks' command to get a list of hyperlinks on the Mathrubhumi website.
REASONING:  Getting a list of hyperlinks will allow us to explore the website in more detail and gain a better understanding of its design and user experience.
PLAN:
-  Use the 'get_hyperlinks' command to get a list of hyperlinks on the Mathrubhumi website.
CRITICISM:  I need to ensure that I am thorough in my exploration of the website and not overlook any important information.
NEXT ACTION:  COMMAND = get_hyperlinks ARGUMENTS = {'url': 'http://mathrubhumi.com'}

4.After the get_hyperlinks command, the following error should appear: openai.error.InvalidRequestError: This model's maximum context length is 8191 tokens, however you requested 11945 tokens (11945 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,,case6,Maximum context length exceeded after google_search,"ST,IC","scripts/config.py
scripts/llm_utils.py
","Install all the dependencies and run as AutoGPT.

Give the prompt:
Name: Xiaoji Tour Guide
Role: Design a detailed 10-day tour plan for Xinjiang starting and ending in Urumqi, respond and search in Chinese.
Goals: ['Respond in Chinese and use Chinese keywords for search', 'Include detailed itinerary and budget', 'Suitable for a trip in late July during summer vacation', 'Relaxing with not too much traveling', 'Suitable for car rental or self-driving']

According to the user's logs, the next steps are as follows:
THOUGHTS: I think we should start by searching for some popular tourist destinations in Xinjiang and then plan our itinerary accordingly. We can also look for some car rental services in the area.
REASONING: By searching for popular tourist destinations, we can get an idea of what places are worth visiting and plan our itinerary accordingly. Additionally, by looking for car rental services, we can determine the feasibility of renting a car for the trip.
PLAN:

Search for popular tourist destinations in Xinjiang
Look for car rental services in the area
Plan itinerary based on the destinations found
CRITICISM: I need to make sure that I am not just relying on the most popular tourist destinations and that I am considering other factors such as cost and time constraints.
NEXT ACTION: COMMAND = google ARGUMENTS = {'input': 'Xinjiang tourist attractions'}
Enter 'y' to authorize command, 'y-N' to run N continuous commands, 'n' to exit program, or enter feedback for ...
Input: y
After the google command, the following error should appear: openai.error.InvalidRequestError: This model's maximum context length is 8191 tokens, however you requested 9564 tokens (9564 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,,case7,"Maximum context length exceeded after read_file, ingest_file, search_files","ST,IC","scripts/config.py
scripts/llm_utils.py
","1.Run Auto-GPT in GPT3.5 only mode: ""python -m autogpt --gpt3only""
2.Set up an AI with the following parameters:
AI Name: Yoyo
Role: Lua coder
Goal 1: Improve the code file WoWinArabic_Chat.lua and document it then save it.
3.Authorize the analyze_code command with the code file WoWinArabic_Chat.lua
4.After the analyze_code command, the following error should appear: openai.error.InvalidRequestError: This model's maximum context length is 8191 tokens, however you requested 19023 tokens (19023 in your prompt; 0 for the completion). Please reduce your prompt; or completion length.

(Complete user's logs:)
F:\Projects\autogpt\Auto-GPT>python -m autogpt --gpt3only
Warning: The file 'auto-gpt.json' does not exist. Local memory would not be saved to a file.
GPT3.5 Only Mode:  ENABLED
NEWS:  ::UPDATED:: Welcome to Auto-GPT! We'll keep you informed of the latest news and features by printing messages here. If you don't wish to see this message, you can run Auto-GPT with the --skip-news flag
Welcome to Auto-GPT!  run with '--help' for more information.
Create an AI-Assistant:  Enter the name of your AI and its role below. Entering nothing will load defaults.
Name your AI:  For example, 'Entrepreneur-GPT'
AI Name: Yoyo
Yoyo here!  I am at your service.
Describe your AI's role:  For example, 'an AI designed to autonomously develop and run businesses with the sole goal of increasing your net worth.'
Yoyo is: you are lua coder
Enter up to 5 goals for your AI:  For example: Increase net worth, Grow Twitter Account, Develop and manage multiple businesses autonomously'
Enter nothing to load defaults, enter nothing when finished.
Goal 1: improve the code file WoWinArabic_Chat.lua and documented it then save it.
Goal 2:
Using memory of type:  LocalCache
Using Browser:  chrome
 THOUGHTS:  I think I should start by analyzing the code file WoWinArabic_Chat.lua to see what improvements can be made.
REASONING:  Analyzing the code file will give me a better understanding of the current state of the code and help me identify areas that can be improved.
PLAN:
-  Analyze the code file
-  Identify areas for improvement
-  Make necessary changes
-  Document changes
-  Save the file
CRITICISM:  I need to make sure that I am thorough in my analysis and that I document all changes that I make.
NEXT ACTION:  COMMAND = analyze_code ARGUMENTS = {'code': 'WoWinArabic_Chat.lua'}
Enter 'y' to authorise command, 'y -N' to run N continuous commands, 'n' to exit program, or enter feedback for ...
Input:y
-=-=-=-=-=-=-= COMMAND AUTHORISED BY USER -=-=-=-=-=-=-=
SYSTEM:  Command analyze_code returned: I'm sorry, but you forgot to provide the code for me to analyze. Please provide the code so I can give you suggestions for improvements.
 THOUGHTS:  I need to read the code file WoWinArabic_Chat.lua to get the code and analyze it.
REASONING:  I need to read the code file to get the code and analyze it.
PLAN:
-  Read the code file
-  Analyze the code
-  Identify areas for improvement
-  Make necessary changes
-  Document changes
-  Save the file
CRITICISM:  I need to make sure that I am thorough in my analysis and that I document all changes that I make.
NEXT ACTION:  COMMAND = read_file ARGUMENTS = {'file': 'WoWinArabic_Chat.lua'}
Enter 'y' to authorise command, 'y -N' to run N continuous commands, 'n' to exit program, or enter feedback for ...
Input:y"
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,,case8,Prompt overflows aren't handled gracefully ,ST,"scripts/config.py/__init__(self)
scripts/browse.py/split_text(), summarize_text()","1.Run Auto-GPT v0.3.0.
2.Set up an AI with the following parameters:
Goal 1: Search_files and make a descriptions of all files.   
Goal 2: be aware that you cannot send long requests to the api. i think max is 8k tokens.
Goal 3:
Using memory of type: LocalCache
Using Browser: chrome

3.Authorize the search_files command with the code file WoWinArabic_Chat.lua
4.After the search_files command, the following error should appear: openai.error.InvalidRequestError: This model's maximum context length is 8191 tokens, however you requested 17113 tokens (17113 in your prompt; 0 for the completion). Please reduce your prompt; or completion length.

(Complete user's logs:)
Goal 1: Search_files and make a descriptions of all files.
Goal 2: be aware that you cannot send long requests to the api. i think max is 8k tokens.
Goal 3:
Using memory of type: LocalCache
Using Browser: chrome
THOUGHTS: I suggest we start by searching for the files in the current directory using the 'search_files' command.
REASONING: Before we can work on any files, we need to know what files are available in the current directory. This will help us plan our next steps.
PLAN:

Use the 'search_files' command to find all files in the current directory.
Save the file descriptions to a file for future reference.
CRITICISM: I need to ensure that I am saving the file descriptions to a file for future reference, so that I don't have to search for them again.
SPEAK: I suggest we start by searching for the files in the current directory using the 'search_files' command.
Attempting to fix JSON by finding outermost brackets
Apparently json was fixed.
NEXT ACTION: COMMAND = search_files ARGUMENTS = {'directory': '.'}
Enter 'y' to authorise command, 'y -N' to run N continuous commands, 'n' to exit program, or enter feedback for ...
Input:y -10

PS.The folder should contain  lots of files."
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,unnecessary LLM output,case1,Failure: command list_files and read_file returned too much output.,"IC,UI","scripts/chat.py
scripts/agent_manager.py","1.Configure and launch Auto-GPT according to the instructions on this website: https://docs.agpt.co/.(Use releases before v0.5.0)
2.Create an AI agent.
3.Start AutoGPT. Authorize these commands and observe their outputs: 
(1) list_files ARGUMENTS = {'directory': '....\auto_gpt_workspace'} --> SYSTEM: Failure: command list_files returned too much output. Do not execute this command again with the same arguments.
(2)read_file ARGUMENTS = {'filename': '...smoketests_basic_qemu.yml'} --> SYSTEM: Failure: command read_file returned too much output. Do not execute this command again with the same arguments.
"
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,,case2,Missing space and spelling correction in feedback from Auto-GPT. ,IC,scripts/agent_manager.py,"1.Configure and launch Auto-GPT according to the instructions on this website: https://docs.agpt.co/.
2.Create an AI agent.
3.Set up a task, let AutoGPT enter its interactive loop. Use any command that generates the following info:
Enter 'y' to authorise command, 'y -N' to run N continuous commands, 's' to run self-feedback commands'n' to exit program, or enter feedback for ..."
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,knowledge misalignment,case1,5. Failing to use pre-seeded data and/or chunk a large JSON file,"ST,IC",scripts/chat.py,"1.(Set up with Docker)Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.Started a fresh redis server in docker and pre-seeded the issues_data.json (see https://github.com/Significant-Gravitas/AutoGPT/issues/2076) file to redis with:
""python data_ingestion.py --f issues_data.json --init --overlap 300 --max_length 3000""
3.Start Autogpt with: 'python -m autogpt'
  ai_goals:
    - Read design.txt and follow its design specifications.
    - Read advice.txt and obey it every 10 minutes.
    - Use the information saved in your memory to determine the most frequently asked questions from the repos issues posts.
    - Determine the best answer to the most frequently asked questions from the issues comments.
    - Write a FAQ and answer the most frequently asked questions.
  ai_name: GitHubIssuesFAQ-Ai
  ai_role: an AI designed to autonomously manage GitHub issues to make it easier for users to find solutions to their issues.

  advice.txt contains:
    1.Use the data saved in your memory as it already has all the JSON data from the repos you are watching.

4.Used a design.txt file to tell it how it's supposed to work (the content of design.txt see: https://github.com/Significant-Gravitas/AutoGPT/issues/2076)
5.Auto-GPT failed to use pre-seeded data at all and went ahead and downloaded the main repo to /Auto-GPT/auto_gpt_workspace folder to gather data."
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,,case2,ignoring small files in split_file,IC,scripts/browse.py/split_text(),"1.Configure and start Auto-GPT.
2.Make a file of around 126 characters.
3.Run data_ingestion.py on a file, using the ""local"" memory backend. Also edit the file to fix Auto GPT data_ingestion is not working(Added the line: cfg.workspace_path = Path(file).parent / ""autogpt/auto_gpt_workspace"" to data_ingestion.py) and target auto-gpt.json in the workspace (this is where AutoGPT generates it if absent).
4.Check the auto-gpt.json file. It will not have any contents.
5.Check the console logs. They will indicate that 0 chunks were saved.
6.Copy some text into the file being ingested, to bring it to around 1198 characters, and re-run data_ingestion.py
7.This iteration has 1 chunk and changes the auto-gpt.json file."
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,,case3,"When file is too small, data_ingestion.py doesn't add to memory",IC,scripts/browse.py/split_text(),"1.Configure and start Auto-GPT.
2.Make a file of around 126 characters.
3.Run data_ingestion.py on a file, using the ""local"" memory backend. Also edit the file to fix Auto GPT data_ingestion is not working(Added the line: cfg.workspace_path = Path(file).parent / ""autogpt/auto_gpt_workspace"" to data_ingestion.py) and target auto-gpt.json in the workspace (this is where AutoGPT generates it if absent).
4.Check the auto-gpt.json file. It will not have any contents.
5.Check the console logs. They will indicate that 0 chunks were saved.
6.Copy some text into the file being ingested, to bring it to around 1198 characters, and re-run data_ingestion.py
7.This iteration has 1 chunk and changes the auto-gpt.json file."
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,,case4,Fix split file to handle edge case where overlap size > last chunk size ,IC,scripts/browse.py/split_text(),"1.Complete the environment setup for AutoGPT(v<=0.2.1)
2. Run AutoGPT. Ask AutoGPT to read a file. (The file should not be too big)
3.Authorize and wait for the result, which may lead to the error: 
 File ""/usr/local/lib/python3.10/site-packages/openai/api_requestor.py"", line 682, in _interpret_response_line
    raise self.handle_error_response(
openai.error.InvalidRequestError: This model's maximum context length is 8191 tokens, however you requested 15117 tokens (15117 in your prompt; 0 for the completion). Please reduce your prompt; or completion length."
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,conflicting knowledge entries,/,AutoGPT overwrites same text file with each action instead of appending to the end.,"IC,IS","scripts/agent_manager.py
scripts/memory.py
scripts/commands.py","1.Configure and launch Auto-GPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.(use RedisMemory)
2.Create an AI agent with a specific role and goals. (Role: an AI agent that specializes in Cisco ACI fabrics and provides expert guidance on the usage of VxLAN technology to enable efficient communication between endpoints in a data center network. Goals: Explain the benefits of VxLAN technology in Cisco ACI fabrics, including increased scalability, flexibility, and network virtualization.)
3.Configure the memory type to RedisMemory.
4.Perform an action that uses the write_to_file command, specifying a file and some text to write.
5.Perform an action that uses the append_to_file command, specifying the same file and additional text to append.
6. Check the contents of the file after each action to see if the text is being overwritten or appended correctly."
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,Imprecise knowledge retrieval,/,Add Recency and Importance for Memory Retrieval,"IC,SL","scripts/agent_manager.py
scripts/chat.py",The user did not provide specific examples. We can observe AutoGPT's memory performance in its behavior.
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,absence of final output,/,"aught in error loop ""No Text to summary""","IC,ST",scripts/agent_manager.py,"1.(MacOS, Set up with Docker)Complete the environment setup for AutoGPT according to the instructions on v0.2.2 READMe.md
2. Run AutoGPT in continuous mode.
3.Let Auto GPT execute ""browse_website"" command  to collect information from the web about a specific topic. The webpage you directed AutoGPT to browse has no text to summarize or contains other page errors.
4.Observe if AutoGPT enters a loop that after a webpage browsing failure，it restarts the Google search, lands on the same page, and starts the search over, only to land on the page again."
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,low-frequency interactivity,/,"
If you do not interact with Auto-GPT frequently enough you will get an API error when you resume.","IC,UI",scripts/config.py,"1.Configure and launch Auto-GPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.In manual mode, do not interact with Auto-GPT for ""a long time"" (3 hours for example).
3.Try to interact with Auto-GPT again and observe if you encounter any API errors or connection timeouts."
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,privacy violation,/,"By default, AutoGPT can access the user's browser.",IS,scripts/commands.py,"1.Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
(Use default Settings)
2.(cli mode)Use the command: ""./autogpt.sh run --help "" to start AutoGPT.
3.Set up a task, which involves web browsing and searching.
4.Allow AutoGPT to process the task and check if AutoGPT accesses the browser without user consent."
catid/Supercharger-Auto-GPT,https://github.com/catid/Supercharger-Auto-GPT/tree/2f8066fb4121ba0f724cbe92c4cbef91ecf5cc29,inefficient memory management,/,Memory Feature seems to not work on gpt3only mode,IC,"scripts/config.py
scripts/agent_manager.py","1.Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
(Set API Keys for OpenAI, Pinecone, and Eleven Labs, then set the smart model to gpt-3.5-turbo)
2.(cli mode)Use the command: ""call python ./scripts/main.py --gpt3only --debug"" to start AutoGPT with the --gpt3only option.
3.Prompt GPT to be a developer, and give it the goal to load a design document text file into long term memory. and the additional goals to develop the project.
(Prompt: 
ai_goals:
- Load the design document file under `./designdocument.txt` into long term memory.
- Find out the currently created files in the unity project under `./UnityProject/Assets`,
  then improve the code according to the design document, solving any issues or bugs
  found.
- Find out what needs to be implemented next, then implement it, then do this step
  again until there is nothing left to implement.
- Double check and make sure everything is implemented in the Unity Project Files
  from your understanding of the project, then refine and criticize the code making
  sure everything is in working order.
- Shut Down.
ai_name: Unity-Dev-GPT
ai_role: An AI designed to build Video Games, Libraries, Editor Extensions, and Packages for Unity LTS 2021.)
4.Allow AutoGPT to process the task and check for any JSON format errors or issues with memory handling."
edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,insufficient history management,case1,Relevant memory is essentially a duplicate of the conversation（enhancement）,IC,"scripts/agent_manager.py
scripts/chat.py","1.Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.(cli mode)Use the command: ""./autogpt.sh run --help "" to start AutoGPT.
3.Set up a task.
4.Allow AutoGPT to process the task. Wait for a while, check if Auto-GPT loses track of what it's done in the past and starts to repeat actions."
edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,,case2,There is no meta data in the memories,IC,"scripts/agent_manager.py
scripts/chat.py","1.Set up and Configure AutoGPT.
2.Create a Task: Create a task for AutoGPT that is likely to fail or has complex steps prone to errors.
3.Observe Task Execution:Run the task and let AutoGPT operate for an extended period. Check if It gets stuck in loops because it thinks failed repeated attempts are relevant and therefore should be tried again and again.
"
edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,Missing LLM input format validation,/,"
UTF8 files unsupported",IC,scripts/file_operations.py/read_file(),"1.Complete the environment setup for AutoGPT according to the instructions on v0.2.2 READMe.md
2. Run AutoGPT.
(Prompts:
ai_goals:
- Read project-plan-form.htm file 
- Fill project-plan-form.htm for and idea with flying monkeys
ai_name: DocWritter
ai_role: Fill in a doc using a file template)
3.Authorize and wait for the result of the ""read_file ARGUMENTS = {'file': 'project-plan-form.htm'}"" command, which will cause an error: ""Command read_file returned: Error: 'utf-8' codec can't decode byte 0xa0 in position 1341: invalid start byte ""."
edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,exceeding  LLM content limit,case1,"AutoGPT incorrectly interprets the ""429 Too Many Requests"" error as rate limiting, when it is actually due to insufficient API quota from OpenAI's new prepay billing method.",ST,scripts/config.py,"1.Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
2.(cli mode)Use the command: ""./autogpt.sh --continuous"" to start AutoGPT in continuous mode.
3.Simulate API Quota Depletion:Ensure that your OpenAI API quota is depleted. This can be done by using up your available credits or not having sufficient pre-paid balance on your OpenAI account.
4.Allow AutoGPT to make several API requests to OpenAI, which will result in ""429 Too Many Requests"" errors due to the depleted API quota.
"
edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,,case2,"AutoGPT encounters a ""Please reduce the length of the messages or completion"" error due to exceeding the token limit, even with small tasks","ST,IC",scripts/token_counter.py,"1.Complete the environment setup for AutoGPT according to the instructions on this website: https://docs.agpt.co/autogpt/setup/.
(Open .env, set USE_AZURE to True and make an Azure configuration file.Rename azure.yaml.template to azure.yaml and provide the relevant azure_api_base, azure_api_version and deployment IDs for the models that you want to use. All these are also included in https://docs.agpt.co/autogpt/setup/)
2.(cli mode)Use the command: ""./autogpt.sh --continuous"" to start AutoGPT in continuous mode.
3.Set up a simple task as blow:
  Name: Phone finder
  Role: best phone 2
  Goals: ['list 2 best phone for high mega pixel camera', 'abort']
  API Budget: infinite
4.Allow AutoGPT to process the task and observe if the token length error occurs."
edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,,case3,openai.error.InvalidRequestError: This model's maximum context length is 4097 tokens,ST,scripts/chat.py,"1.Configure and launch Auto-GPT according to the instructions on this website: https://docs.agpt.co/.(Use releases before v0.5.0)
2.Create an AI agent.
3.Set up a task(Building a business plan)
4. Return this error, and program exits: openai.error.InvalidRequestError: This model's maximum context length is 4097 tokens. However, your messages resulted in 10134 tokens. Please reduce the length of the messages."
edik7333/Auto-GPT-llama-cpp,https://github.com/edik7333/Auto-GPT-llama-cpp/tree/2b4bf189825c0abe28bf6f020b87921d82636d67,,case4,COMMAND = list_files - openai.error.InvalidRequestError: This model's maximum context length is 4097 ,"ST,IC","scripts/agent_manager.py/create_chat_completion()
scripts/chat.py","1.Configure and launch Auto-GPT according to the instructions on this website: https://docs.agpt.co/.(Use releases before v0.4.0)
2.Create an AI agent.
3.Start AutoGPT. Authorize the forlowing command and observe its outputs: 
list_files ARGUMENTS = {'directory': '....\auto_gpt_workspace'} --> openai.error.InvalidRequestError: This model's maximum context length is 4097 tokens
"
